iter	Passed	Remaining
0	475	475092
1	670	334379
2	848	281880
3	1024	254986
4	1213	241442
5	1401	232220
6	1591	225723
7	1777	220402
8	1973	217314
9	2170	214926
10	2368	212919
11	2546	209650
12	2742	208224
13	2937	206910
14	3133	205779
15	3318	204074
16	3511	203034
17	3693	201494
18	3885	200602
19	4074	199635
20	4266	198879
21	4459	198238
22	4640	197100
23	4834	196608
24	5075	197960
25	5273	197540
26	5466	196980
27	5649	196109
28	5844	195702
29	6034	195114
30	6212	194201
31	6392	193376
32	6584	192941
33	6781	192668
34	6981	192495
35	7191	192577
36	7384	192200
37	7567	191587
38	7755	191108
39	7946	190719
40	8139	190393
41	8317	189713
42	8505	189303
43	8688	188770
44	8878	188416
45	9071	188124
46	9265	187867
47	9476	187960
48	9656	187411
49	9847	187111
50	10030	186650
51	10220	186325
52	10402	185873
53	10602	185741
54	10786	185332
55	10967	184884
56	11167	184755
57	11359	184494
58	11543	184108
59	11725	183704
60	11896	183121
61	12083	182813
62	12268	182466
63	12447	182039
64	12621	181553
65	12809	181272
66	13005	181105
67	13196	180870
68	13370	180403
69	13547	179986
70	13717	179487
71	13899	179153
72	14091	178948
73	14275	178631
74	14465	178412
75	14652	178139
76	14832	177798
77	15024	177599
78	15231	177567
79	15414	177269
80	15599	176989
81	15777	176632
82	15959	176319
83	16145	176061
84	16319	175676
85	16498	175345
86	16688	175136
87	16871	174845
88	17084	174873
89	17293	174861
90	17494	174755
91	17698	174673
92	17898	174561
93	18118	174634
94	18316	174487
95	18522	174417
96	18723	174303
97	18975	174651
98	19169	174464
99	19384	174463
100	19595	174422
101	19774	174097
102	19954	173779
103	20134	173463
104	20321	173220
105	20518	173049
106	20712	172860
107	20876	172427
108	21068	172220
109	21258	171999
110	21434	171665
111	21612	171359
112	21795	171084
113	21982	170846
114	22180	170697
115	22373	170498
116	22543	170138
117	22719	169821
118	22898	169522
119	23075	169220
120	23267	169022
121	23436	168666
122	23617	168396
123	23797	168120
124	23974	167820
125	24161	167595
126	24332	167259
127	24535	167147
128	24770	167246
129	24941	166916
130	25128	166689
131	25308	166421
132	25492	166179
133	25685	165995
134	25897	165934
135	26086	165725
136	26296	165649
137	26516	165629
138	26715	165480
139	26898	165235
140	27085	165010
141	27269	164770
142	27496	164785
143	27753	164977
144	27988	165037
145	28172	164790
146	28394	164766
147	28605	164677
148	28791	164437
149	28970	164166
150	29147	163879
151	29328	163624
152	29511	163374
153	29701	163167
154	29888	162942
155	30072	162702
156	30265	162508
157	30469	162376
158	30663	162190
159	30866	162047
160	31048	161796
161	31236	161579
162	31428	161384
163	31626	161217
164	31814	160998
165	31990	160723
166	32177	160499
167	32378	160351
168	32587	160238
169	32778	160037
170	32967	159827
171	33155	159610
172	33348	159415
173	33521	159131
174	33706	158902
175	33893	158681
176	34070	158420
177	34246	158147
178	34455	158032
179	34648	157842
180	34834	157622
181	35060	157577
182	35232	157293
183	35425	157102
184	35639	157008
185	35862	156945
186	36103	156963
187	36279	156698
188	36488	156572
189	36676	156356
190	36849	156080
191	37054	155936
192	37226	155656
193	37425	155489
194	37621	155310
195	37797	155047
196	37975	154793
197	38176	154635
198	38364	154423
199	38560	154240
200	38747	154027
201	38932	153801
202	39104	153527
203	39277	153257
204	39468	153061
205	39638	152779
206	39818	152539
207	40005	152329
208	40175	152052
209	40343	151769
210	40551	151636
211	40754	151482
212	40949	151300
213	41132	151075
214	41302	150800
215	41496	150616
216	41685	150413
217	41866	150183
218	42035	149908
219	42201	149622
220	42371	149355
221	42549	149113
222	42732	148893
223	42924	148701
224	43116	148511
225	43306	148315
226	43482	148071
227	43661	147834
228	43836	147590
229	44031	147408
230	44214	147190
231	44418	147040
232	44614	146862
233	44787	146612
234	44980	146425
235	45186	146282
236	45378	146092
237	45556	145857
238	45720	145578
239	45890	145319
240	46082	145130
241	46264	144912
242	46447	144694
243	46631	144481
244	46810	144251
245	47000	144058
246	47169	143799
247	47336	143537
248	47516	143311
249	47694	143083
250	47881	142881
251	48076	142704
252	48250	142463
253	48436	142257
254	48597	141980
255	48773	141747
256	48946	141508
257	49127	141289
258	49308	141072
259	49495	140871
260	49653	140589
261	49836	140377
262	50019	140167
263	50203	139961
264	50372	139713
265	50542	139466
266	50723	139251
267	50893	139008
268	51064	138766
269	51243	138548
270	51427	138342
271	51616	138149
272	51791	137920
273	51959	137674
274	52141	137463
275	52314	137231
276	52490	137006
277	52643	136721
278	52833	136532
279	53017	136331
280	53200	136124
281	53378	135906
282	53582	135753
283	53770	135561
284	53944	135334
285	54134	135147
286	54339	134996
287	54534	134821
288	54730	134648
289	54917	134452
290	55109	134269
291	55274	134020
292	55449	133798
293	55624	133574
294	55811	133379
295	56009	133212
296	56166	132945
297	56348	132741
298	56530	132534
299	56700	132301
300	56889	132111
301	57104	131982
302	57292	131790
303	57494	131631
304	57675	131423
305	57851	131205
306	58053	131046
307	58241	130853
308	58440	130686
309	58638	130517
310	58836	130349
311	59037	130184
312	59218	129977
